Timestamp,  Are you 15 years or older?  ,  What is your age?  ,Consent:,  Age:  ,  Gender:  ,  Current status:  ,  City/Town:,"  On weekdays, approximately how many hours do you spend studying, working, or engaged in learning activities?  ","  On weekends, approximately how many hours per day do you study/work?  ",When do you usually start studying or working on weekdays? ,When do you usually finish studying or working on weekdays? ,  How often do you work/study late at night (after 10 PM)?  ,  Do you follow a fixed schedule (same timings each day)? ,How regular is your daily routine? ,  Do you take naps during the day?  ,How many hours a week do you spend on extracurriculars or work? ,How many hours of screen time do you have in the 2 hours before bedtime? ,"Do you drink coffee, tea, or other caffeine after 4 PM? ",Do you use your phone or devices while in bed? ,"  In the past month, how often have you felt that you were unable to control the important things in your life? ","  In the past month, how often have you felt confident about your ability to handle personal problems? "," In the past month, how often have you felt that things were going your way? ","In the past month, how often have you felt that problems were piling up so much that you couldn’t deal with them? ",What time do you usually go to bed on weekdays? (HH:MM)  ,What time do you usually wake up on weekdays? (HH:MM)  ,How many hours do you usually sleep on weekdays?,How long does it take you to fall asleep (in minutes)? ,  How often do you feel sleepy during the day?  ,  Rate your overall sleep quality?,  How much pressure do you feel from academics/work?  ,Which activities help you relax or sleep better? (Select all that apply) ,avg study hrs(weekday),avg sleep,avg pressure,Column 1,Column 2
10/7/2025 23:51:08,Yes,19,If 18 or older: I consent to participate in this anonymous survey.,19,Female,Gap year,Turkey,6,4,Before 4 PM,8–10 PM,Sometimes (3–4x/week),Sometimes,2,No,14,2,Yes,Sometimes,3,3,3,2,3:00,1:00:00 PM,3,,Often,3,5,Not really only listen to brown/white noise before sleeping when i work,7.138888889,6.011111111,4.222222222,-0.03319779479,-0.2926054357
10/8/2025 0:22:55,Yes,16,If under 18: I confirm I have parental consent to participate in this survey.,16,Male,Gap Year student ,Owerri ,2,2,After 10 PM,After 12 AM,,Sometimes,3,Yes,2hr,1hr,No,Often,4,2,1,4,,6:00:00 AM,7,,Often,2,3,Music,,,,,
10/8/2025 0:55:15,Yes,17 years,If under 18: I confirm I have parental consent to participate in this survey.,17,Female,High school student,"Gurugram, Haryana",4,2,8–10 PM,10–12 AM,Often (5–6x/week),Rarely,2,Yes,14 hours ,4 hours,Yes,Often,4,2,2,4,1 am,6:40:00 AM,5,00:30,Often,2,5,"Reading, Music",,,,,
10/8/2025 4:04:17,Yes,16,If under 18: I confirm I have parental consent to participate in this survey.,16,Female,High school student,Gurgaon,4,6,8–10 PM,10–12 AM,Often (5–6x/week),Usually,3,Yes,1-2 hrs,30-45 mins,No,Sometimes,4,2,2,4,10 or 12 o clock,6:00:00 AM,5,00:30,Sometimes,3,4,Music,,,,,
10/8/2025 10:53:48,Yes,21,If 18 or older: I consent to participate in this anonymous survey.,21,Female,College student,Gurgaon ,8,4.5,Before 4 PM,After 12 AM,Always (daily),Sometimes,4,1 or 2 hours,5-6 ,1 or 1½,Yes,Always,3,3,2,2,1:30 am,7:00:00 AM,2.5,00:05,Often,2,4,Music,,,,,
10/8/2025 13:46:17,Yes,19,If 18 or older: I consent to participate in this anonymous survey.,19,Male,High school student,Cape town ,5,0,8–10 PM,Before 8 PM,Never,Sometimes,4,Yes,Depends what I'm doing.,Depends on what week day.,No,Often,4,4,2,1,Between 10 and 11.,6:30:00 AM,6.5,,Often,4,5,Music,,,,,
10/8/2025 14:44:25,Yes,33,If 18 or older: I consent to participate in this anonymous survey.,33,Female,Graduate student ,Illinois ,6,6,4–6 PM,Before 8 PM,Often (5–6x/week),Sometimes,4,Sometimes ,7hours,2 hours ,No,Often,1,4,4,1,10pm,10:10:00 AM,10.2,02:00,Often,4,4,Phone-off before bed,,,,,
,,,,,,,,5,2,,,,,,,,,,,,,,,,,1.5,,,,5,,,,,,
10/8/2025 15:17:39,Yes,16,If under 18: I confirm I have parental consent to participate in this survey.,16,Female,High school student,Gurugram ,6,5.5,4–6 PM,8–10 PM,Rarely (1–2x/week),Usually,4,Around  35 -40 min,3 - 5 hours per week,Around 60 min,Yes,Sometimes,2,3,2,2,10:30:00 AM,8:00:00 AM,2,20:00,Sometimes,4,3,Music,,,,,
10/8/2025 20:01:34,Yes,16,If under 18: I confirm I have parental consent to participate in this survey.,16,Female,High school student,Noida,3,5.5,6–8 PM,10–12 AM,Always (daily),Sometimes,4,Yes,approx 6-7 hrs or more,Half to one hr,Yes,Sometimes,2,3,3,3,12 am,7:00:00 AM,7,15:00,Sometimes,3,4,Music,,,,,
